Loading net-file from 'C:\Users\lendl\Documents\smart_traffic\sumo\25-3-lendl-ver.net.xml' ... done (11ms).
Loading additional-files from '000/../edgedata.add.xml' ... done (2ms).
Loading done.
Simulation version 1.15.0 started with time: 0.00.
Warning: Vehicle 'f_1_12_CAR.143' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=45378.92.
Warning: Vehicle 'f_2_12_CAR.105' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=45645.00.
Warning: Vehicle 'f_5_12_TAXI.20' performs emergency braking on lane '1076383725.80_0' with decel=9.00, wished=4.50, severity=1.00, time=45648.00.
Warning: Teleporting vehicle 'f_6_12_MOTORCYCLE.1230'; collision with vehicle 'f_7_12_MOTORCYCLE.1418', lane='1078018160_2', gap=-1.70, time=46360.48 stage=move.
Warning: Vehicle 'f_6_12_MOTORCYCLE.1230' ends teleporting on edge '430789454#0', time=46361.02.
Warning: Vehicle 'f_1_13_CAR.14' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=47112.90.
Warning: Vehicle 'f_1_13_CAR.51' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=47897.44.
Warning: Vehicle 'f_6_13_CAR.156' performs emergency braking on lane ':cluster9883633497_cluster_25353129_33471551_cluster_26272655_288063291_29500569_5064338396_#2more_1_1' with decel=9.00, wished=4.50, severity=1.00, time=47901.08.
Warning: Teleporting vehicle 'f_6_13_CAR.156'; collision with vehicle 'f_7_13_CAR.140', lane='1078018160_3', gap=-0.03, time=47902.06 stage=move.
Warning: Vehicle 'f_6_13_CAR.156' ends teleporting on edge '430789454#0', time=47902.06.
Warning: Vehicle 'f_1_13_CAR.69' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=48280.56.
Warning: Vehicle 'f_2_13_TRUCK.7' performs emergency braking on lane '1078018164_0' with decel=7.00, wished=4.00, severity=1.00, time=49341.00.
Warning: Teleporting vehicle 'f_6_13_MOTORCYCLE.875'; collision with vehicle 'f_7_13_MOTORCYCLE.1133', lane='1078018160_3', gap=-0.59, time=49593.90 stage=move.
Warning: Vehicle 'f_6_13_MOTORCYCLE.875' ends teleporting on edge '430789454#0', time=49594.62.
Simulation ended at time: 50828.42
Reason: All vehicles have left the simulation.
Performance: 
 Duration: 2392.61s
 Real time factor: 21.2439
 UPS: 288450.120433
Vehicles: 
 Inserted: 120272 (Loaded: 125347)
 Running: 0
 Waiting: 0
Teleports: 3 (Collisions: 3)

